# o3
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	8.600000	14.774979
2	2.200000	0.447214
4	2.800000	0.447214
8	4.600000	0.547723
16	7.400000	3.781534
32	10.000000	0.000000
64	20.000000	2.345208
128	37.800000	5.118594
256	69.000000	7.549834
512	142.200000	11.031772
1024	270.400000	17.952716
2048	474.800000	17.852171
4096	1097.400000	191.436151
8192	2021.400000	61.937872
16384	4423.400000	667.453594
32768	10198.200000	1106.087338
65536	21967.000000	2185.071280
131072	53873.400000	4665.734915
262144	125999.333333	4880.619769
524288	300573.000000	nan
1048576	714548.000000	nan
2097152	1660569.000000	nan
4194304	3915072.000000	nan
8388608	8991153.000000	nan
16777216	21280496.000000	nan
33554432	47923901.000000	nan
