# o128
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	8.800000	9.731393
2	1.800000	0.447214
4	1.400000	0.547723
8	2.000000	1.000000
16	2.200000	0.447214
32	5.200000	0.836660
64	8.600000	1.140175
128	22.000000	4.000000
256	43.800000	13.255188
512	90.400000	5.941380
1024	170.400000	19.047310
2048	267.400000	8.619745
4096	576.000000	94.037227
8192	1130.000000	63.623895
16384	2803.800000	409.808736
32768	5284.800000	434.296788
65536	11568.000000	1339.828907
131072	24458.600000	1929.739957
262144	65290.200000	2713.598294
524288	161832.333333	5089.431140
1048576	372502.000000	nan
2097152	866103.000000	nan
4194304	1984941.000000	nan
8388608	4384437.000000	nan
16777216	9845546.000000	nan
33554432	24531926.000000	nan
67108864	61284630.000000	nan
