# <order>	<items>	<t (ms)>	<sample error on t with 12 replicas>
3	35618.333333	4550.957408
4	30647.000000	2345.913933
20	19844.083333	963.619640
40	19143.666667	1516.350543
60	18125.166667	1589.992729
61	18126.916667	1989.208223
62	18926.083333	1191.668689
63	18123.000000	1165.249798
64	18402.833333	1642.419105
65	17520.416667	1574.429274
66	18455.416667	1743.515595
67	18431.166667	1183.176528
77	18125.333333	1264.242665
78	18137.166667	1701.882425
79	18416.916667	1218.961962
80	17707.250000	1374.711879
81	18078.416667	1433.184278
82	18691.000000	1020.867635
83	17802.083333	1298.690701
90	19046.250000	1518.600859
99	18498.750000	1441.964892
100	17894.750000	1364.760460
110	18600.833333	1312.639522
129	18881.000000	1518.124261
150	18870.000000	1959.614944
200	19569.500000	1228.557654
257	20839.166667	1323.978566
513	24057.000000	1299.221515
1025	33697.916667	1134.259667
2049	51361.500000	2628.665354
