# table
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	2.600000	3.049590
2	0.600000	0.547723
4	1.200000	0.447214
8	1.600000	0.547723
16	3.600000	2.073644
32	10.800000	13.553597
64	7.800000	1.303840
128	19.200000	1.923538
256	41.200000	5.540758
512	44.000000	2.345208
1024	113.200000	24.035391
2048	195.600000	25.967287
4096	347.600000	22.853884
8192	735.400000	136.884258
16384	1515.000000	301.762324
32768	3090.400000	459.528889
65536	6391.400000	1177.613816
