# o3
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	6.200000	10.521407
2	1.000000	1.000000
4	1.800000	0.447214
8	3.400000	2.073644
16	4.400000	0.547723
32	9.600000	2.880972
64	19.400000	2.073644
128	32.600000	7.987490
256	75.000000	4.183300
512	173.600000	39.771849
1024	268.800000	53.644198
2048	485.800000	40.898655
4096	986.000000	84.843974
8192	2355.400000	568.242290
16384	4241.200000	459.108593
32768	8931.800000	150.669174
65536	23631.200000	1597.854405
131072	59477.600000	14171.524011
262144	146412.000000	19039.950026
524288	347708.000000	nan
1048576	785505.000000	nan
2097152	1906892.000000	nan
4194304	4398175.000000	nan
