# o3
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	15.200000	18.700267
2	1.800000	0.447214
4	3.800000	5.718391
8	2.600000	0.547723
16	4.000000	0.707107
32	9.600000	1.140175
64	17.400000	2.607681
128	62.400000	24.130893
256	68.800000	14.652645
512	152.200000	4.324350
1024	288.600000	37.004054
2048	462.400000	41.512649
4096	897.800000	56.104367
8192	2129.800000	262.794026
16384	4114.400000	43.281636
32768	10080.000000	1621.583794
65536	21694.800000	2295.264190
131072	52091.000000	1291.582944
262144	125512.800000	2053.723496
524288	296909.000000	12742.335265
1048576	734720.000000	nan
2097152	1653383.000000	nan
4194304	3859330.000000	nan
8388608	8681812.000000	nan
16777216	19446775.000000	nan
33554432	46357804.000000	nan
67108864	120944725.000000	nan
