# o2049
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	4.400000	6.503845
2	1.800000	0.447214
4	2.800000	0.836660
8	2.000000	0.707107
16	7.000000	4.123106
32	6.200000	0.447214
64	11.000000	0.707107
128	19.000000	1.000000
256	55.200000	14.515509
512	110.400000	15.339492
1024	227.800000	23.931151
2048	549.000000	79.400882
4096	1177.000000	160.934769
8192	2948.400000	393.955962
16384	5651.000000	569.632338
32768	11523.400000	1117.901740
65536	25226.800000	1174.192999
131072	56255.000000	1661.968110
262144	116756.000000	3799.191098
524288	248873.000000	0.000000
1048576	569545.000000	0.000000
2097152	1419262.000000	0.000000
4194304	3395689.000000	0.000000
8388608	7821704.000000	0.000000
16777216	17497709.000000	0.000000
33554432	37335956.000000	0.000000
67108864	83985044.000000	0.000000
