# o2049
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	1.400000	0.894427
2	0.800000	0.836660
4	1.600000	0.547723
8	1.400000	0.547723
16	2.200000	0.836660
32	6.800000	3.563706
64	11.600000	4.159327
128	17.400000	5.549775
256	43.400000	5.683309
512	96.400000	15.709870
1024	224.800000	23.306651
2048	603.800000	103.687994
4096	1486.800000	221.470540
8192	3105.800000	396.376967
16384	6756.000000	434.196960
32768	14979.600000	1830.643411
65536	34953.000000	2517.045888
131072	75942.400000	2521.302203
262144	171731.666667	8636.894716
524288	436211.000000	nan
1048576	1208832.000000	nan
2097152	2693643.000000	nan
4194304	6841597.000000	nan
