# o128
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	3.600000	3.577709
2	2.000000	0.707107
4	2.400000	0.547723
8	2.800000	0.447214
16	3.400000	0.894427
32	5.000000	1.000000
64	13.600000	8.619745
128	17.800000	2.167948
256	39.600000	1.140175
512	73.200000	9.884331
1024	169.400000	9.016651
2048	307.600000	35.373719
4096	649.000000	81.740443
8192	1198.000000	37.496667
16384	2587.200000	437.631352
32768	5430.200000	844.505003
65536	11703.800000	1250.313841
131072	26823.000000	2036.278591
262144	63323.000000	1950.215629
524288	154501.000000	nan
1048576	363291.000000	nan
2097152	840303.000000	nan
4194304	2011357.000000	nan
8388608	4484293.000000	nan
16777216	10137787.000000	nan
33554432	23009567.000000	nan
