# o3
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	20.400000	42.822891
2	1.400000	0.547723
4	8.600000	8.734987
8	3.800000	1.303840
16	7.000000	0.707107
32	16.400000	7.635444
64	26.200000	0.836660
128	41.200000	2.387467
256	106.600000	14.152738
512	237.600000	37.326934
1024	488.800000	124.391318
2048	822.200000	32.127870
4096	2018.600000	337.571178
8192	4445.200000	329.816161
16384	10076.200000	852.771189
32768	17825.800000	787.584408
65536	37906.000000	2346.586350
131072	82676.600000	2973.350770
262144	193179.333333	2643.405064
524288	434563.000000	0.000000
1048576	964505.000000	0.000000
2097152	2169968.000000	0.000000
4194304	4806687.000000	0.000000
8388608	10876798.000000	0.000000
16777216	24073336.000000	0.000000
33554432	56262508.000000	0.000000
67108864	141163185.000000	0.000000
