# o257
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	1.800000	1.303840
2	0.400000	0.547723
4	1.600000	0.547723
8	1.800000	0.836660
16	2.600000	0.547723
32	5.000000	1.000000
64	9.800000	0.447214
128	13.600000	0.547723
256	39.400000	6.107373
512	91.400000	8.173127
1024	178.800000	14.515509
2048	312.600000	23.233596
4096	705.800000	105.267279
8192	1232.200000	42.564069
16384	2498.600000	95.235498
32768	5277.800000	216.209852
65536	12199.600000	696.496447
131072	29254.600000	2156.268142
262144	73136.666667	6562.240573
524288	190345.000000	nan
1048576	471154.000000	nan
2097152	1052249.000000	nan
4194304	2599481.000000	nan
