# o128
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	2.600000	3.049590
2	1.200000	0.836660
4	1.600000	0.547723
8	2.000000	0.707107
16	2.800000	0.836660
32	9.200000	9.959920
64	9.800000	0.447214
128	14.200000	0.836660
256	45.800000	3.834058
512	85.800000	9.418068
1024	155.400000	38.089369
2048	282.800000	28.682747
4096	589.800000	60.866247
8192	1166.200000	72.737198
16384	2523.200000	315.403234
32768	4897.000000	150.021665
65536	11263.600000	422.363351
131072	25890.600000	2049.535142
262144	63511.666667	759.530337
524288	169814.000000	nan
1048576	409015.000000	nan
2097152	870712.000000	nan
4194304	2146924.000000	nan
