# o257
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	2.200000	1.643168
2	1.400000	0.894427
4	1.000000	0.707107
8	1.400000	0.547723
16	2.400000	0.547723
32	5.000000	0.707107
64	8.600000	1.140175
128	26.800000	12.417729
256	38.600000	9.813256
512	102.200000	6.723095
1024	187.800000	18.833481
2048	293.200000	15.833509
4096	658.800000	121.875756
8192	1295.400000	181.951367
16384	2637.600000	180.093864
32768	5748.800000	598.752620
65536	12691.000000	679.261364
131072	27853.200000	1187.777631
262144	69526.200000	5409.965591
524288	170339.333333	8192.772811
1048576	431189.000000	nan
2097152	1017844.000000	nan
4194304	2228363.000000	nan
8388608	5212190.000000	nan
16777216	11121109.000000	nan
33554432	25302344.000000	nan
67108864	60257120.000000	nan
