# size	new	old
5	168	312
10	256	752
20	280	752
40	416	1448
80	544	1448
160	528	2280
320	568	1840
640	664	1144
1280	784	1816
2560	696	1816
5120	736	1816
10240	712	1816
20480	752	1816
40960	704	1816
81920	840	1816
163840	736	1816
327680	920	1816
655360	968	1816
1310720	832	1816
2621440	920	1816
5242880	824	1816
10485760	872	1816
20971520	816	1816
41943040	872	1816
83886080	824	1816
