# o4
# <items>	<t (ms)>	<sample error on t with 5 replicas>
1	2.000000	0.707107
2	1.600000	0.547723
4	4.600000	4.159327
8	3.600000	0.547723
16	6.800000	4.086563
32	10.800000	3.420526
64	20.000000	1.870829
128	33.200000	5.718391
256	71.200000	6.496153
512	135.800000	17.512852
1024	263.200000	9.148770
2048	441.600000	23.628373
4096	1067.600000	185.423300
8192	1848.800000	166.092444
16384	4100.800000	889.142396
32768	8678.000000	1447.162569
65536	18235.000000	525.356546
131072	46520.600000	4100.995708
262144	109613.666667	1676.559672
524288	257392.000000	nan
1048576	621460.000000	nan
2097152	1427672.000000	nan
4194304	3447430.000000	nan
8388608	7767900.000000	nan
16777216	18467531.000000	nan
33554432	42062236.000000	nan
